Rank,Word,Is_Compound,Token_Count,Frequency_Score
1,là,False,1,7.26
2,và,False,1,7.17
3,có,False,1,7.13
4,của,False,1,7.1
5,được,False,1,7.01
6,một,False,1,7.0
7,các,False,1,6.99
8,không,False,1,6.95
9,trong,False,1,6.94
10,cho,False,1,6.9
11,người,False,1,6.84
12,này,False,1,6.82
13,với,False,1,6.79
14,đã,False,1,6.76
15,thể,False,1,6.73
16,để,False,1,6.72
17,như,False,1,6.65
18,những,False,1,6.63
19,đến,False,1,6.63
20,khi,False,1,6.61
21,làm,False,1,6.61
22,sẽ,False,1,6.6
23,từ,False,1,6.6
24,ra,False,1,6.59
25,có thể,True,1,6.58
26,công,False,1,6.57
27,họ,False,1,6.57
28,tại,False,1,6.57
29,về,False,1,6.57
30,vào,False,1,6.55
31,đó,False,1,6.55
32,cũng,False,1,6.54
33,thành,False,1,6.53
34,không thể,True,1,6.53
35,lại,False,1,6.52
36,đầu,False,1,6.5
37,chỉ,False,1,6.49
38,năm,False,1,6.49
39,sự,False,1,6.49
40,tôi,False,1,6.49
41,bị,False,1,6.48
42,học,False,1,6.48
43,phải,False,1,6.48
44,chính,False,1,6.47
45,ngày,False,1,6.47
46,số,False,1,6.47
47,ông,False,1,6.47
48,động,False,1,6.47
49,mà,False,1,6.46
50,nhà,False,1,6.46
51,thì,False,1,6.46
52,trên,False,1,6.45
53,việc,False,1,6.45
54,sau,False,1,6.41
55,nam,False,1,6.4
56,điều,False,1,6.4
57,còn,False,1,6.39
58,chúng,False,1,6.38
59,gia,False,1,6.38
60,mình,False,1,6.38
61,thế,False,1,6.38
62,nhưng,False,1,6.37
63,rất,False,1,6.37
64,đi,False,1,6.37
65,bộ,False,1,6.36
66,nhân,False,1,6.36
67,thực,False,1,6.36
68,bạn,False,1,6.35
69,hiện,False,1,6.35
70,theo,False,1,6.35
71,thời,False,1,6.35
72,anh,False,1,6.34
73,con,False,1,6.34
74,hơn,False,1,6.34
75,nước,False,1,6.34
76,nhất,False,1,6.33
77,sinh,False,1,6.33
78,đây,False,1,6.33
79,nên,False,1,6.31
80,sử,False,1,6.31
81,cả,False,1,6.3
82,quốc,False,1,6.3
83,trung,False,1,6.3
84,hành,False,1,6.29
85,hình,False,1,6.29
86,phát,False,1,6.29
87,vì,False,1,6.29
88,nó,False,1,6.28
