Rank,Lemma,Frequency_Score
1,là,7.26
2,và,7.17
3,có,7.13
4,của,7.1
5,được,7.01
6,một,7.0
7,các,6.99
8,không,6.95
9,trong,6.94
10,cho,6.9
11,người,6.84
12,này,6.82
13,với,6.79
14,ở,6.78
15,đã,6.76
16,thể,6.73
17,để,6.72
18,như,6.65
19,những,6.63
20,đến,6.63
21,khi,6.61
22,làm,6.61
23,sẽ,6.6
24,từ,6.6
25,ra,6.59
26,công,6.57
27,họ,6.57
28,tại,6.57
29,về,6.57
30,vào,6.55
31,đó,6.55
32,cũng,6.54
33,thành,6.53
34,lại,6.52
35,đầu,6.5
36,chỉ,6.49
37,năm,6.49
38,sự,6.49
39,tôi,6.49
40,bị,6.48
41,học,6.48
42,phải,6.48
43,chính,6.47
44,ngày,6.47
45,số,6.47
46,ông,6.47
47,động,6.47
48,mà,6.46
49,nhà,6.46
50,thì,6.46
51,trên,6.45
52,việc,6.45
53,sau,6.41
54,nam,6.4
55,điều,6.4
56,còn,6.39
57,chúng,6.38
58,gia,6.38
59,mình,6.38
60,thế,6.38
61,nhưng,6.37
62,rất,6.37
63,đi,6.37
64,bộ,6.36
65,nhân,6.36
66,thực,6.36
67,bạn,6.35
68,hiện,6.35
69,theo,6.35
70,thời,6.35
71,anh,6.34
72,con,6.34
73,hơn,6.34
74,nước,6.34
75,nhất,6.33
76,sinh,6.33
77,đây,6.33
78,nên,6.31
79,sử,6.31
80,cả,6.3
81,quốc,6.3
82,trung,6.3
83,hành,6.29
84,hình,6.29
85,phát,6.29
86,vì,6.29
87,1,6.28
88,nó,6.28
89,cần,6.27
90,nhiều,6.27
91,tin,6.27
92,đại,6.27
93,quan,6.26
94,viên,6.26
95,đang,6.26
96,biết,6.25
97,ta,6.25
98,độ,6.25
99,do,6.24
100,hội,6.24
101,lên,6.24
102,việt,6.24
103,đồng,6.24
104,hay,6.23
105,khác,6.23
106,nếu,6.23
107,trước,6.23
108,bản,6.22
109,dân,6.22
110,kết,6.22
111,nói,6.22
112,định,6.22
113,thứ,6.21
114,cùng,6.2
115,cầu,6.2
116,nào,6.2
117,xuất,6.2
118,dụng,6.19
119,lý,6.19
120,pháp,6.19
121,2,6.18
122,cao,6.18
123,thị,6.18
124,trường,6.18
125,tên,6.18
126,tốt,6.18
127,cách,6.17
128,thấy,6.17
129,văn,6.17
130,chủ,6.16
131,qua,6.16
132,thích,6.16
133,vị,6.16
134,mới,6.15
135,phần,6.15
136,tự,6.15
137,ý,6.15
138,giải,6.14
139,bảo,6.13
140,cơ,6.13
141,em,6.13
142,giới,6.13
143,hợp,6.13
144,liên,6.13
145,bằng,6.12
146,hai,6.12
147,ngoài,6.12
148,3,6.11
149,cảm,6.11
150,giúp,6.11
151,tới,6.11
152,vậy,6.11
153,tháng,6.1
154,trình,6.1
155,ăn,6.1
156,điểm,6.1
157,chức,6.09
158,lớn,6.09
159,sống,6.09
160,thông,6.09
161,thường,6.09
162,bình,6.08
163,cuộc,6.08
164,nhận,6.08
165,quá,6.08
166,sản,6.08
167,tế,6.08
168,yêu,6.08
169,hoặc,6.07
170,lượng,6.07
171,vụ,6.07
172,đường,6.07
173,cô,6.06
174,rằng,6.06
175,thống,6.06
176,tiếp,6.06
177,tính,6.06
178,vẫn,6.06
179,xe,6.06
180,gì,6.05
181,khu,6.05
182,loại,6.05
183,muốn,6.05
184,tập,6.05
185,cái,6.04
186,tác,6.04
187,đối,6.04
188,hàng,6.03
189,hệ,6.03
190,trị,6.03
191,tìm,6.03
192,địa,6.03
193,lần,6.02
194,lực,6.02
195,tay,6.02
196,trở,6.02
197,bao,6.01
198,hóa,6.01
199,mặt,6.01
200,mỹ,6.01
201,nay,6.01
202,thủ,6.01
203,tiền,6.01
204,gọi,6.0
205,kỳ,6.0
206,máy,6.0
207,tiếng,6.0
208,tạo,6.0
209,chi,5.99
210,cấp,5.99
211,kinh,5.99
212,tham,5.99
213,toàn,5.99
214,bắt,5.98
215,giáo,5.98
216,minh,5.98
217,nghiệp,5.98
218,nhau,5.98
219,nhiên,5.98
220,thêm,5.98
221,ảnh,5.98
222,ban,5.97
223,bất,5.97
224,chiến,5.97
225,chưa,5.97
226,giờ,5.97
227,mọi,5.97
228,phương,5.97
229,rồi,5.97
230,thức,5.97
231,tích,5.97
232,xem,5.97
233,xã,5.97
234,hoa,5.96
235,nguyên,5.96
236,phòng,5.96
237,tổ,5.96
238,đặc,5.96
239,chú,5.95
240,ngay,5.95
241,tỉnh,5.95
242,nơi,5.94
243,sao,5.94
244,sĩ,5.94
245,tư,5.94
246,đạo,5.94
247,4,5.93
248,bên,5.93
249,bố,5.93
250,hiệu,5.93
251,luôn,5.93
252,lúc,5.93
253,tổng,5.93
254,đề,5.93
255,lịch,5.92
256,năng,5.92
257,quyền,5.92
258,tâm,5.92
259,tình,5.92
260,vật,5.92
261,điện,5.92
262,đánh,5.92
263,5,5.91
264,gian,5.91
265,tiên,5.91
266,tử,5.91
267,đất,5.91
268,đều,5.91
269,bà,5.9
270,bài,5.9
271,bởi,5.9
272,chuyển,5.9
273,diện,5.9
274,phân,5.9
275,thuật,5.9
276,đơn,5.9
277,hoạt,5.89
278,lập,5.89
279,mẹ,5.89
280,nhanh,5.89
281,phố,5.89
282,thiết,5.89
283,trang,5.89
284,tất,5.89
285,hãy,5.88
286,lời,5.88
287,thuộc,5.88
288,thật,5.88
289,truyền,5.88
290,trí,5.88
291,vực,5.88
292,đông,5.88
293,an,5.87
294,cá,5.87
295,hết,5.87
296,nữ,5.87
297,phong,5.87
298,sách,5.87
299,triển,5.87
300,báo,5.86
301,chất,5.86
302,dịch,5.86
303,hà,5.86
304,nhìn,5.86
305,thanh,5.86
306,tinh,5.86
307,vừa,5.86
308,đưa,5.86
